E09000001,City of London,!,!,!,!,!,!,!,!,!,!,!,!,!,!,!,-,!,!,!,-,!,!,!,-,!,!,!,-,!,!,!,-,!,!,!,-,!,!,!,-,!,!,!,-,!,!,!,-,!,!,!,-,!,!,!,-,!,!,!,-,!,!,!,!,!,!,!,-,!,!,!,-,!,!,!,-,!,!,!,!,!,!,!,-
E09000019,Islington,"43,200","183,100",23.6,6.0,"41,900","183,100",22.9,6.0,"28,100","183,100",15.3,5.1,"137,800","183,100",75.3,6.1,"33,200","43,200",76.8,12.1,"31,900","41,900",76.1,12.5,"18,100","28,100",64.4,16.6,"121,100","137,800",87.8,5.4,"27,900","43,200",64.5,13.7,"26,600","41,900",63.4,14.1,"15,100","28,100",53.6,17.3,"112,700","137,800",81.8,6.4,"5,300","33,200",16.0,*,"5,300","31,900",16.7,*,"3,000","18,100",16.8,*,"8,300","121,100",6.9,*,"10,000","43,200",23.2,12.1,"10,000","41,900",23.9,12.5,"10,000","28,100",35.6,16.6,"16,800","137,800",12.2,5.4,"142,700","183,100",77.9,5.9
E09000020,Kensington and Chelsea,"19,300","104,800",18.4,6.1,"17,800","104,800",17.0,5.9,"14,000","104,800",13.3,5.3,"85,000","104,800",81.1,6.1,"10,100","19,300",52.0,19.6,"9,200","17,800",51.5,20.4,"6,100","14,000",43.9,*,"60,100","85,000",70.8,7.8,"9,000","19,300",46.7,*,"8,200","17,800",45.8,*,"5,500","14,000",39.1,*,"56,400","85,000",66.4,8.2,!,"10,100",!,!,!,"9,200",!,!,!,"6,100",!,!,"3,700","60,100",6.2,*,"9,300","19,300",48.0,19.6,"8,600","17,800",48.5,20.4,"7,800","14,000",56.1,22.3,"24,800","85,000",29.2,7.8,"66,000","104,800",62.9,7.6
E09000021,Kingston upon Thames,"18,500","121,700",15.2,4.7,"16,700","121,700",13.7,4.5,"12,200","121,700",10.0,3.9,"100,400","121,700",82.5,4.9,"16,100","18,500",87.2,11.4,"14,700","16,700",87.9,11.7,"10,200","12,200",83.8,16.6,"84,300","100,400",84.0,5.2,"16,100","18,500",87.2,11.4,"14,700","16,700",87.9,11.7,"10,200","12,200",83.8,16.6,"80,200","100,400",79.9,5.7,!,"16,100",!,!,!,"14,700",!,!,!,"10,200",!,!,"4,200","84,300",4.9,*,"2,400","18,500",12.8,*,"2,000","16,700",12.1,*,"2,000","12,200",16.2,*,"16,000","100,400",16.0,5.2,"98,100","121,700",80.6,5.1
E09000022,Lambeth,"39,200","245,800",15.9,5.4,"36,500","245,800",14.8,5.3,"27,900","245,800",11.3,4.7,"204,100","245,800",83.0,5.5,"29,200","39,200",74.6,15.8,"26,500","36,500",72.8,16.8,"19,500","27,900",70.1,19.6,"178,900","204,100",87.6,5.4,"29,200","39,200",74.6,15.8,"26,500","36,500",72.8,16.8,"19,500","27,900",70.1,19.6,"162,100","204,100",79.4,6.6,!,"29,200",!,!,!,"26,500",!,!,!,"19,500",!,!,"16,800","178,900",9.4,5.1,"9,900","39,200",25.4,*,"9,900","36,500",27.2,*,"8,300","27,900",29.9,*,"25,200","204,100",12.4,5.4,"192,600","245,800",78.4,6.1
E09000023,Lewisham,"56,700","222,100",25.5,5.9,"50,200","222,100",22.6,5.7,"39,500","222,100",17.8,5.2,"163,800","222,100",73.7,6.0,"38,100","56,700",67.3,13.0,"32,300","50,200",64.4,14.3,"21,000","39,500",53.0,16.5,"139,200","163,800",85.0,5.6,"34,400","56,700",60.6,13.5,"28,500","50,200",56.8,14.8,"19,900","39,500",50.5,16.6,"133,100","163,800",81.3,6.1,!,"38,100",!,!,!,"32,300",!,!,!,"21,000",!,!,"6,100","139,200",4.4,*,"18,600","56,700",32.7,13.0,"17,900","50,200",35.6,14.3,"18,600","39,500",47.0,16.5,"24,600","163,800",15.0,5.6,"168,100","222,100",75.7,5.8
E09000024,Merton,"33,500","144,200",23.3,5.9,"31,900","144,200",22.1,5.8,"22,800","144,200",15.8,5.1,"108,900","144,200",75.5,6.0,"24,500","33,500",73.2,12.9,"22,900","31,900",71.8,13.4,"16,200","22,800",71.0,16.0,"96,000","108,900",88.1,5.2,"23,300","33,500",69.5,13.4,"21,700","31,900",68.0,13.9,"15,000","22,800",65.7,16.7,"94,400","108,900",86.7,5.5,!,"24,500",!,!,!,"22,900",!,!,!,"16,200",!,!,!,"96,000",!,!,"9,000","33,500",26.8,12.9,"9,000","31,900",28.2,13.4,"6,600","22,800",29.0,16.0,"13,000","108,900",11.9,5.2,"119,500","144,200",82.9,5.3
E09000025,Newham,"41,300","265,000",15.6,4.5,"39,000","265,000",14.7,4.4,"31,900","265,000",12.0,4.0,"223,100","265,000",84.2,4.5,"25,600","41,300",61.9,14.5,"24,500","39,000",62.9,14.8,"19,000","31,900",59.5,16.5,"177,200","223,100",79.4,5.5,"23,700","41,300",57.4,14.8,"22,700","39,000",58.2,15.1,"17,100","31,900",53.7,16.8,"163,300","223,100",73.2,6.1,!,"25,600",!,!,!,"24,500",!,!,!,"19,000",!,!,"13,800","177,200",7.8,4.2,"15,700","41,300",38.1,14.5,"14,400","39,000",37.1,14.8,"12,900","31,900",40.5,16.5,"45,900","223,100",20.6,5.5,"187,100","265,000",70.6,5.7
E09000026,Redbridge,"35,600","205,200",17.3,4.3,"33,400","205,200",16.3,4.2,"30,800","205,200",15.0,4.0,"169,200","205,200",82.4,4.3,"18,700","35,600",52.6,13.6,"17,000","33,400",50.8,14.1,"15,200","30,800",49.3,14.6,"135,500","169,200",80.1,5.0,"17,300","35,600",48.7,13.6,"15,600","33,400",46.6,14.1,"13,800","30,800",44.8,14.5,"126,600","169,200",74.9,5.4,"1,400","18,700",7.4,*,"1,400","17,000",8.2,*,"1,400","15,200",9.2,*,"8,900","135,500",6.5,3.4,"16,900","35,600",47.4,13.6,"16,400","33,400",49.2,14.1,"15,600","30,800",50.7,14.6,"33,700","169,200",19.9,5.0,"144,000","205,200",70.1,5.2
E09000027,Richmond upon Thames,"25,500","127,800",19.9,5.8,"24,100","127,800",18.9,5.7,"17,600","127,800",13.7,5.0,"102,300","127,800",80.1,5.8,"16,000","25,500",62.7,17.6,"15,200","24,100",62.8,18.2,"9,100","17,600",51.9,*,"82,300","102,300",80.4,6.3,"14,400","25,500",56.5,18.0,"14,400","24,100",59.6,18.5,"8,300","17,600",47.2,*,"80,200","102,300",78.4,6.6,!,"16,000",!,!,!,"15,200",!,!,!,"9,100",!,!,"2,100","82,300",2.6,*,"9,500","25,500",37.3,17.6,"9,000","24,100",37.2,18.2,"8,500","17,600",48.1,22.5,"20,000","102,300",19.6,6.3,"94,600","127,800",74.0,6.4
E09000028,Southwark,"59,900","237,200",25.3,6.5,"49,200","237,200",20.7,6.1,"46,900","237,200",19.8,6.0,"173,700","237,200",73.2,6.6,"37,000","59,900",61.7,14.4,"27,100","49,200",55.2,16.0,"26,800","46,900",57.2,16.9,"144,200","173,700",83.0,6.6,"32,900","59,900",54.9,14.7,"23,000","49,200",46.8,16.1,"22,700","46,900",48.5,17.1,"138,500","173,700",79.7,7.1,#,"37,000",11.1,*,#,"27,100",15.1,*,#,"26,800",15.3,*,"5,700","144,200",3.9,*,"23,000","59,900",38.3,14.4,"22,100","49,200",44.8,16.0,"20,000","46,900",42.8,16.9,"29,500","173,700",17.0,6.6,"175,000","237,200",73.8,6.6
